Regional Council11,Service type4,Ethnic group9,Age of child7,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Otago,Playcentre,Pasifika,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northland,Playcentre,Pasifika,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nelson,Playcentre,Pasifika,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marlborough,Playcentre,Pasifika,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manawatu-Wanganui,Playcentre,Pasifika,Age 5,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
Hawkes Bay,Playcentre,Pasifika,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gisborne,Playcentre,Pasifika,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canterbury,Playcentre,Pasifika,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bay of Plenty,Playcentre,Pasifika,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auckland,Playcentre,Pasifika,Age 5,2,0,1,4,1,1,0,1,1,2,0,0,0,1,2
Area outside regions,Playcentre,Pasifika,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Coast,Kōhanga Reo,Pasifika,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wellington,Kōhanga Reo,Pasifika,Age 5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Waikato,Kōhanga Reo,Pasifika,Age 5,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Tasman,Kōhanga Reo,Pasifika,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taranaki,Kōhanga Reo,Pasifika,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Southland,Kōhanga Reo,Pasifika,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Otago,Kōhanga Reo,Pasifika,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northland,Kōhanga Reo,Pasifika,Age 5,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
Nelson,Kōhanga Reo,Pasifika,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marlborough,Kōhanga Reo,Pasifika,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manawatu-Wanganui,Kōhanga Reo,Pasifika,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Hawkes Bay,Kōhanga Reo,Pasifika,Age 5,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0
Gisborne,Kōhanga Reo,Pasifika,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canterbury,Kōhanga Reo,Pasifika,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bay of Plenty,Kōhanga Reo,Pasifika,Age 5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Auckland,Kōhanga Reo,Pasifika,Age 5,0,0,0,0,0,0,0,1,0,0,0,1,2,1,1
Area outside regions,Kōhanga Reo,Pasifika,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Coast,Kindergarten,Pasifika,Age 5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Wellington,Kindergarten,Pasifika,Age 5,1,1,1,1,1,9,11,3,6,11,5,6,4,4,1
Waikato,Kindergarten,Pasifika,Age 5,3,4,0,1,1,2,1,1,0,3,5,1,3,3,1
Tasman,Kindergarten,Pasifika,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taranaki,Kindergarten,Pasifika,Age 5,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
Southland,Kindergarten,Pasifika,Age 5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
Otago,Kindergarten,Pasifika,Age 5,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0
Northland,Kindergarten,Pasifika,Age 5,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
Nelson,Kindergarten,Pasifika,Age 5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Marlborough,Kindergarten,Pasifika,Age 5,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0
Manawatu-Wanganui,Kindergarten,Pasifika,Age 5,0,1,0,0,0,1,0,2,1,3,1,1,1,2,0
Hawkes Bay,Kindergarten,Pasifika,Age 5,1,2,0,1,0,1,0,3,0,0,2,1,0,1,2
Gisborne,Kindergarten,Pasifika,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Canterbury,Kindergarten,Pasifika,Age 5,1,2,0,1,1,0,3,4,1,2,5,3,3,4,2
Bay of Plenty,Kindergarten,Pasifika,Age 5,1,0,0,0,0,0,0,0,1,0,2,0,2,1,1
Auckland,Kindergarten,Pasifika,Age 5,10,7,14,10,9,24,20,20,6,26,17,24,30,17,7
Area outside regions,Kindergarten,Pasifika,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Coast,Home-based,Pasifika,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wellington,Home-based,Pasifika,Age 5,0,4,0,1,2,0,0,0,0,0,2,1,8,8,8
Waikato,Home-based,Pasifika,Age 5,0,1,0,0,0,0,1,0,0,0,4,3,3,3,4
Tasman,Home-based,Pasifika,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taranaki,Home-based,Pasifika,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Southland,Home-based,Pasifika,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otago,Home-based,Pasifika,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Northland,Home-based,Pasifika,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nelson,Home-based,Pasifika,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marlborough,Home-based,Pasifika,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manawatu-Wanganui,Home-based,Pasifika,Age 5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hawkes Bay,Home-based,Pasifika,Age 5,0,0,0,0,1,1,0,0,0,0,2,0,0,0,1
Gisborne,Home-based,Pasifika,Age 5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canterbury,Home-based,Pasifika,Age 5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Bay of Plenty,Home-based,Pasifika,Age 5,0,0,0,0,0,0,0,1,2,0,1,2,0,0,1
Auckland,Home-based,Pasifika,Age 5,0,0,1,0,0,1,1,0,1,2,4,7,11,8,5
Area outside regions,Home-based,Pasifika,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Coast,Education & Care,Pasifika,Age 5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Wellington,Education & Care,Pasifika,Age 5,4,8,6,4,7,11,5,4,6,2,4,3,3,6,14
Waikato,Education & Care,Pasifika,Age 5,1,1,2,1,3,2,0,3,1,2,2,1,0,4,1
Tasman,Education & Care,Pasifika,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Taranaki,Education & Care,Pasifika,Age 5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Southland,Education & Care,Pasifika,Age 5,0,0,3,5,0,0,0,0,0,2,0,0,0,0,1
Otago,Education & Care,Pasifika,Age 5,1,3,1,1,1,0,0,0,1,0,0,0,0,0,2
Northland,Education & Care,Pasifika,Age 5,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
Nelson,Education & Care,Pasifika,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Marlborough,Education & Care,Pasifika,Age 5,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
Manawatu-Wanganui,Education & Care,Pasifika,Age 5,1,1,0,1,2,0,1,0,0,0,1,1,1,1,1
Hawkes Bay,Education & Care,Pasifika,Age 5,1,1,0,2,1,0,2,0,0,0,1,1,1,2,1
Gisborne,Education & Care,Pasifika,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canterbury,Education & Care,Pasifika,Age 5,1,2,1,1,0,3,1,0,0,1,2,3,3,4,3
Bay of Plenty,Education & Care,Pasifika,Age 5,0,3,3,0,0,0,0,0,0,0,1,1,2,0,2
Auckland,Education & Care,Pasifika,Age 5,33,38,39,40,20,33,53,65,39,35,48,66,89,82,87
Area outside regions,Education & Care,Pasifika,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Coast,Playcentre,Other/ Unknown*,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Wellington,Playcentre,Other/ Unknown*,Age 5,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
Waikato,Playcentre,Other/ Unknown*,Age 5,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Tasman,Playcentre,Other/ Unknown*,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taranaki,Playcentre,Other/ Unknown*,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southland,Playcentre,Other/ Unknown*,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otago,Playcentre,Other/ Unknown*,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Northland,Playcentre,Other/ Unknown*,Age 5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Nelson,Playcentre,Other/ Unknown*,Age 5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Marlborough,Playcentre,Other/ Unknown*,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manawatu-Wanganui,Playcentre,Other/ Unknown*,Age 5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Hawkes Bay,Playcentre,Other/ Unknown*,Age 5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
Gisborne,Playcentre,Other/ Unknown*,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canterbury,Playcentre,Other/ Unknown*,Age 5,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
Bay of Plenty,Playcentre,Other/ Unknown*,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auckland,Playcentre,Other/ Unknown*,Age 5,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0
Area outside regions,Playcentre,Other/ Unknown*,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Coast,Kōhanga Reo,Other/ Unknown*,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wellington,Kōhanga Reo,Other/ Unknown*,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waikato,Kōhanga Reo,Other/ Unknown*,Age 5,0,0,0,1,0,0,0,2,0,0,0,0,1,2,0
Tasman,Kōhanga Reo,Other/ Unknown*,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Taranaki,Kōhanga Reo,Other/ Unknown*,Age 5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Southland,Kōhanga Reo,Other/ Unknown*,Age 5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Otago,Kōhanga Reo,Other/ Unknown*,Age 5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Northland,Kōhanga Reo,Other/ Unknown*,Age 5,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Nelson,Kōhanga Reo,Other/ Unknown*,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marlborough,Kōhanga Reo,Other/ Unknown*,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manawatu-Wanganui,Kōhanga Reo,Other/ Unknown*,Age 5,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
Hawkes Bay,Kōhanga Reo,Other/ Unknown*,Age 5,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Gisborne,Kōhanga Reo,Other/ Unknown*,Age 5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Canterbury,Kōhanga Reo,Other/ Unknown*,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bay of Plenty,Kōhanga Reo,Other/ Unknown*,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Auckland,Kōhanga Reo,Other/ Unknown*,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Area outside regions,Kōhanga Reo,Other/ Unknown*,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Coast,Kindergarten,Other/ Unknown*,Age 5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Wellington,Kindergarten,Other/ Unknown*,Age 5,0,0,0,1,1,0,4,4,0,2,0,2,0,1,1
Waikato,Kindergarten,Other/ Unknown*,Age 5,1,2,2,2,1,1,1,4,0,3,2,1,4,1,1
Tasman,Kindergarten,Other/ Unknown*,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taranaki,Kindergarten,Other/ Unknown*,Age 5,0,0,0,0,1,0,0,0,1,0,2,0,2,0,0
Southland,Kindergarten,Other/ Unknown*,Age 5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Otago,Kindergarten,Other/ Unknown*,Age 5,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0
Northland,Kindergarten,Other/ Unknown*,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Nelson,Kindergarten,Other/ Unknown*,Age 5,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
Marlborough,Kindergarten,Other/ Unknown*,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manawatu-Wanganui,Kindergarten,Other/ Unknown*,Age 5,0,0,2,0,0,0,0,0,0,4,1,1,0,0,0
Hawkes Bay,Kindergarten,Other/ Unknown*,Age 5,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0
Gisborne,Kindergarten,Other/ Unknown*,Age 5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Canterbury,Kindergarten,Other/ Unknown*,Age 5,1,1,0,2,1,0,0,2,0,3,0,3,1,0,1
Bay of Plenty,Kindergarten,Other/ Unknown*,Age 5,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Auckland,Kindergarten,Other/ Unknown*,Age 5,4,0,4,1,5,5,9,5,0,5,2,5,6,3,1
Area outside regions,Kindergarten,Other/ Unknown*,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Coast,Home-based,Other/ Unknown*,Age 5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Wellington,Home-based,Other/ Unknown*,Age 5,0,1,0,1,0,0,0,10,27,40,14,3,9,13,5
Waikato,Home-based,Other/ Unknown*,Age 5,0,0,0,0,0,0,0,22,27,33,9,1,2,3,2
Tasman,Home-based,Other/ Unknown*,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taranaki,Home-based,Other/ Unknown*,Age 5,0,0,0,1,0,0,0,0,3,2,6,0,0,1,1
Southland,Home-based,Other/ Unknown*,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otago,Home-based,Other/ Unknown*,Age 5,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
Northland,Home-based,Other/ Unknown*,Age 5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Nelson,Home-based,Other/ Unknown*,Age 5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Marlborough,Home-based,Other/ Unknown*,Age 5,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
Manawatu-Wanganui,Home-based,Other/ Unknown*,Age 5,0,0,0,0,0,0,0,1,1,3,6,0,0,1,0
Hawkes Bay,Home-based,Other/ Unknown*,Age 5,0,0,0,0,0,2,0,4,8,22,8,0,1,3,4
Gisborne,Home-based,Other/ Unknown*,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canterbury,Home-based,Other/ Unknown*,Age 5,0,0,0,2,0,0,0,0,0,6,5,2,4,3,0
Bay of Plenty,Home-based,Other/ Unknown*,Age 5,0,0,0,0,0,0,0,6,5,4,6,3,2,3,1
Auckland,Home-based,Other/ Unknown*,Age 5,1,0,0,0,1,1,0,11,11,9,7,5,6,7,12
Area outside regions,Home-based,Other/ Unknown*,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Coast,Education & Care,Other/ Unknown*,Age 5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wellington,Education & Care,Other/ Unknown*,Age 5,4,1,1,3,0,2,1,0,2,3,3,2,5,2,3
Waikato,Education & Care,Other/ Unknown*,Age 5,1,0,1,0,1,7,0,3,0,1,3,0,4,4,3
Tasman,Education & Care,Other/ Unknown*,Age 5,0,0,0,1,0,1,1,0,2,3,0,1,1,0,0
Taranaki,Education & Care,Other/ Unknown*,Age 5,0,1,0,1,1,1,1,0,1,0,2,0,5,1,3
Southland,Education & Care,Other/ Unknown*,Age 5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Otago,Education & Care,Other/ Unknown*,Age 5,3,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Northland,Education & Care,Other/ Unknown*,Age 5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Nelson,Education & Care,Other/ Unknown*,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marlborough,Education & Care,Other/ Unknown*,Age 5,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
Manawatu-Wanganui,Education & Care,Other/ Unknown*,Age 5,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
Hawkes Bay,Education & Care,Other/ Unknown*,Age 5,1,0,0,0,0,0,0,0,2,2,1,1,1,3,2
Gisborne,Education & Care,Other/ Unknown*,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canterbury,Education & Care,Other/ Unknown*,Age 5,1,4,2,2,3,5,1,1,0,0,2,4,1,0,5
Bay of Plenty,Education & Care,Other/ Unknown*,Age 5,0,3,2,4,0,0,0,2,2,2,2,1,5,1,2
Auckland,Education & Care,Other/ Unknown*,Age 5,4,4,7,6,6,19,4,10,9,20,8,21,17,15,23
Area outside regions,Education & Care,Other/ Unknown*,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Coast,Playcentre,Not Stated,Age 5,,,,,,,,,,,,,,,0
Wellington,Playcentre,Not Stated,Age 5,,,,,,,,,,,,,,,0
Waikato,Playcentre,Not Stated,Age 5,,,,,,,,,,,,,,,0
Tasman,Playcentre,Not Stated,Age 5,,,,,,,,,,,,,,,0
Taranaki,Playcentre,Not Stated,Age 5,,,,,,,,,,,,,,,0
Southland,Playcentre,Not Stated,Age 5,,,,,,,,,,,,,,,0
Otago,Playcentre,Not Stated,Age 5,,,,,,,,,,,,,,,0
Northland,Playcentre,Not Stated,Age 5,,,,,,,,,,,,,,,0
Nelson,Playcentre,Not Stated,Age 5,,,,,,,,,,,,,,,0
Marlborough,Playcentre,Not Stated,Age 5,,,,,,,,,,,,,,,0
Manawatu-Wanganui,Playcentre,Not Stated,Age 5,,,,,,,,,,,,,,,1
Hawkes Bay,Playcentre,Not Stated,Age 5,,,,,,,,,,,,,,,0
Gisborne,Playcentre,Not Stated,Age 5,,,,,,,,,,,,,,,0
Canterbury,Playcentre,Not Stated,Age 5,,,,,,,,,,,,,,,0
Bay of Plenty,Playcentre,Not Stated,Age 5,,,,,,,,,,,,,,,0
Auckland,Playcentre,Not Stated,Age 5,,,,,,,,,,,,,,,1
Area outside regions,Playcentre,Not Stated,Age 5,,,,,,,,,,,,,,,0
West Coast,Kōhanga Reo,Not Stated,Age 5,,,,,,,,,,,,,,,0
Wellington,Kōhanga Reo,Not Stated,Age 5,,,,,,,,,,,,,,,0
Waikato,Kōhanga Reo,Not Stated,Age 5,,,,,,,,,,,,,,,0
Tasman,Kōhanga Reo,Not Stated,Age 5,,,,,,,,,,,,,,,0
Taranaki,Kōhanga Reo,Not Stated,Age 5,,,,,,,,,,,,,,,0
Southland,Kōhanga Reo,Not Stated,Age 5,,,,,,,,,,,,,,,0
Otago,Kōhanga Reo,Not Stated,Age 5,,,,,,,,,,,,,,,0
Northland,Kōhanga Reo,Not Stated,Age 5,,,,,,,,,,,,,,,0
Nelson,Kōhanga Reo,Not Stated,Age 5,,,,,,,,,,,,,,,0
Marlborough,Kōhanga Reo,Not Stated,Age 5,,,,,,,,,,,,,,,0
Manawatu-Wanganui,Kōhanga Reo,Not Stated,Age 5,,,,,,,,,,,,,,,0
Hawkes Bay,Kōhanga Reo,Not Stated,Age 5,,,,,,,,,,,,,,,0
Gisborne,Kōhanga Reo,Not Stated,Age 5,,,,,,,,,,,,,,,0
Canterbury,Kōhanga Reo,Not Stated,Age 5,,,,,,,,,,,,,,,0
Bay of Plenty,Kōhanga Reo,Not Stated,Age 5,,,,,,,,,,,,,,,0
Auckland,Kōhanga Reo,Not Stated,Age 5,,,,,,,,,,,,,,,0
Area outside regions,Kōhanga Reo,Not Stated,Age 5,,,,,,,,,,,,,,,0
West Coast,Kindergarten,Not Stated,Age 5,,,,,,,,,,,,,,,0
Wellington,Kindergarten,Not Stated,Age 5,,,,,,,,,,,,,,,0
Waikato,Kindergarten,Not Stated,Age 5,,,,,,,,,,,,,,,0
Tasman,Kindergarten,Not Stated,Age 5,,,,,,,,,,,,,,,0
Taranaki,Kindergarten,Not Stated,Age 5,,,,,,,,,,,,,,,0
Southland,Kindergarten,Not Stated,Age 5,,,,,,,,,,,,,,,0
Otago,Kindergarten,Not Stated,Age 5,,,,,,,,,,,,,,,0
Northland,Kindergarten,Not Stated,Age 5,,,,,,,,,,,,,,,0
Nelson,Kindergarten,Not Stated,Age 5,,,,,,,,,,,,,,,0
Marlborough,Kindergarten,Not Stated,Age 5,,,,,,,,,,,,,,,0
Manawatu-Wanganui,Kindergarten,Not Stated,Age 5,,,,,,,,,,,,,,,0
Hawkes Bay,Kindergarten,Not Stated,Age 5,,,,,,,,,,,,,,,0
Gisborne,Kindergarten,Not Stated,Age 5,,,,,,,,,,,,,,,0
Canterbury,Kindergarten,Not Stated,Age 5,,,,,,,,,,,,,,,0
Bay of Plenty,Kindergarten,Not Stated,Age 5,,,,,,,,,,,,,,,1
Auckland,Kindergarten,Not Stated,Age 5,,,,,,,,,,,,,,,0
Area outside regions,Kindergarten,Not Stated,Age 5,,,,,,,,,,,,,,,0
West Coast,Home-based,Not Stated,Age 5,,,,,,,,,,,,,,,0
Wellington,Home-based,Not Stated,Age 5,,,,,,,,,,,,,,,0
Waikato,Home-based,Not Stated,Age 5,,,,,,,,,,,,,,,0
Tasman,Home-based,Not Stated,Age 5,,,,,,,,,,,,,,,0
Taranaki,Home-based,Not Stated,Age 5,,,,,,,,,,,,,,,0
Southland,Home-based,Not Stated,Age 5,,,,,,,,,,,,,,,0
Otago,Home-based,Not Stated,Age 5,,,,,,,,,,,,,,,0
Northland,Home-based,Not Stated,Age 5,,,,,,,,,,,,,,,0
Nelson,Home-based,Not Stated,Age 5,,,,,,,,,,,,,,,0
Marlborough,Home-based,Not Stated,Age 5,,,,,,,,,,,,,,,0
Manawatu-Wanganui,Home-based,Not Stated,Age 5,,,,,,,,,,,,,,,0
Hawkes Bay,Home-based,Not Stated,Age 5,,,,,,,,,,,,,,,0
Gisborne,Home-based,Not Stated,Age 5,,,,,,,,,,,,,,,0
Canterbury,Home-based,Not Stated,Age 5,,,,,,,,,,,,,,,0
Bay of Plenty,Home-based,Not Stated,Age 5,,,,,,,,,,,,,,,0
Auckland,Home-based,Not Stated,Age 5,,,,,,,,,,,,,,,1
Area outside regions,Home-based,Not Stated,Age 5,,,,,,,,,,,,,,,0
West Coast,Education & Care,Not Stated,Age 5,,,,,,,,,,,,,,,0
Wellington,Education & Care,Not Stated,Age 5,,,,,,,,,,,,,,,0
Waikato,Education & Care,Not Stated,Age 5,,,,,,,,,,,,,,,0
Tasman,Education & Care,Not Stated,Age 5,,,,,,,,,,,,,,,0
Taranaki,Education & Care,Not Stated,Age 5,,,,,,,,,,,,,,,0
Southland,Education & Care,Not Stated,Age 5,,,,,,,,,,,,,,,0
Otago,Education & Care,Not Stated,Age 5,,,,,,,,,,,,,,,1
Northland,Education & Care,Not Stated,Age 5,,,,,,,,,,,,,,,0
Nelson,Education & Care,Not Stated,Age 5,,,,,,,,,,,,,,,0
Marlborough,Education & Care,Not Stated,Age 5,,,,,,,,,,,,,,,0
Manawatu-Wanganui,Education & Care,Not Stated,Age 5,,,,,,,,,,,,,,,0
Hawkes Bay,Education & Care,Not Stated,Age 5,,,,,,,,,,,,,,,0
Gisborne,Education & Care,Not Stated,Age 5,,,,,,,,,,,,,,,0
Canterbury,Education & Care,Not Stated,Age 5,,,,,,,,,,,,,,,0
Bay of Plenty,Education & Care,Not Stated,Age 5,,,,,,,,,,,,,,,1
Auckland,Education & Care,Not Stated,Age 5,,,,,,,,,,,,,,,0
Area outside regions,Education & Care,Not Stated,Age 5,,,,,,,,,,,,,,,0
West Coast,Playcentre,Māori,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wellington,Playcentre,Māori,Age 5,2,1,1,0,1,1,1,1,1,1,3,1,0,1,1
Waikato,Playcentre,Māori,Age 5,3,5,4,2,3,5,4,3,0,1,0,1,0,1,0
Tasman,Playcentre,Māori,Age 5,0,1,1,1,0,1,2,0,1,1,0,0,1,0,0
Taranaki,Playcentre,Māori,Age 5,0,0,0,1,0,2,0,1,1,2,3,1,0,1,0
Southland,Playcentre,Māori,Age 5,0,1,0,1,1,2,1,0,0,0,0,0,0,0,0
Otago,Playcentre,Māori,Age 5,1,0,1,0,0,0,1,2,0,0,0,1,1,0,2
Northland,Playcentre,Māori,Age 5,6,1,1,3,1,4,0,5,4,4,2,1,2,1,8
Nelson,Playcentre,Māori,Age 5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Marlborough,Playcentre,Māori,Age 5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Manawatu-Wanganui,Playcentre,Māori,Age 5,1,0,0,1,0,1,1,0,2,0,0,0,0,0,0
Hawkes Bay,Playcentre,Māori,Age 5,0,0,0,1,0,0,0,0,2,0,0,1,1,1,1
Gisborne,Playcentre,Māori,Age 5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Canterbury,Playcentre,Māori,Age 5,0,2,3,0,2,1,1,1,0,2,0,1,0,3,0
Bay of Plenty,Playcentre,Māori,Age 5,1,1,0,2,1,2,2,1,2,1,1,0,4,0,2
Auckland,Playcentre,Māori,Age 5,4,3,3,2,3,2,1,1,1,1,1,6,7,7,5
Area outside regions,Playcentre,Māori,Age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Coast,Kōhanga Reo,Māori,Age 5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Wellington,Kōhanga Reo,Māori,Age 5,48,7,27,27,34,41,54,11,4,2,4,7,6,11,15
Waikato,Kōhanga Reo,Māori,Age 5,78,24,64,65,61,71,87,22,5,16,6,10,31,24,23
Tasman,Kōhanga Reo,Māori,Age 5,0,0,0,1,0,1,3,0,1,1,0,0,1,1,1
Taranaki,Kōhanga Reo,Māori,Age 5,16,8,5,14,15,22,17,2,0,4,1,1,4,2,8
Southland,Kōhanga Reo,Māori,Age 5,3,0,6,2,18,14,4,3,0,2,0,0,3,0,1
Otago,Kōhanga Reo,Māori,Age 5,9,3,1,7,5,1,3,1,0,1,0,0,1,2,1
Northland,Kōhanga Reo,Māori,Age 5,35,12,35,34,55,186,40,5,3,7,3,3,16,15,12
Nelson,Kōhanga Reo,Māori,Age 5,1,2,11,2,5,2,0,1,0,2,0,0,0,2,0
