Regional Council11,Service type4,Ethnic group9,Age of child7,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Southland,Home-based,Pasifika,Less than 1,1,0,0,1,1,0,0,0,0,0,2,1,0,1,0
Otago,Home-based,Pasifika,Less than 1,0,1,1,2,1,2,2,0,0,0,3,1,2,0,2
Northland,Home-based,Pasifika,Less than 1,0,0,0,0,0,0,0,2,0,0,1,0,2,1,0
Nelson,Home-based,Pasifika,Less than 1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1
Marlborough,Home-based,Pasifika,Less than 1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
Manawatu-Wanganui,Home-based,Pasifika,Less than 1,4,0,0,0,0,0,1,0,1,1,1,1,1,1,1
Hawkes Bay,Home-based,Pasifika,Less than 1,0,0,3,2,1,1,0,0,0,2,1,1,5,8,3
Gisborne,Home-based,Pasifika,Less than 1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Canterbury,Home-based,Pasifika,Less than 1,1,1,2,2,1,0,1,1,0,0,3,2,0,2,1
Bay of Plenty,Home-based,Pasifika,Less than 1,0,1,2,4,1,7,3,3,5,1,7,5,7,11,17
Auckland,Home-based,Pasifika,Less than 1,6,3,15,9,7,8,8,7,6,6,15,20,20,31,57
Area outside regions,Home-based,Pasifika,Less than 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Coast,Education & Care,Pasifika,Less than 1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
Wellington,Education & Care,Pasifika,Less than 1,14,18,17,31,28,22,35,56,50,31,36,42,34,47,42
Waikato,Education & Care,Pasifika,Less than 1,8,12,12,10,17,21,8,21,14,17,12,19,17,16,15
Tasman,Education & Care,Pasifika,Less than 1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
Taranaki,Education & Care,Pasifika,Less than 1,0,0,0,1,0,1,1,0,0,2,3,1,1,1,1
Southland,Education & Care,Pasifika,Less than 1,0,0,2,2,5,0,3,1,3,1,3,2,6,3,3
Otago,Education & Care,Pasifika,Less than 1,5,7,5,7,9,8,3,10,5,4,4,4,4,6,9
Northland,Education & Care,Pasifika,Less than 1,2,0,0,0,1,0,1,0,2,4,0,7,2,4,2
Nelson,Education & Care,Pasifika,Less than 1,0,0,0,0,1,0,1,0,1,1,3,1,0,0,0
Marlborough,Education & Care,Pasifika,Less than 1,1,0,1,0,1,0,0,0,0,1,0,0,0,3,1
Manawatu-Wanganui,Education & Care,Pasifika,Less than 1,3,3,5,9,6,8,10,14,8,5,6,5,12,9,12
Hawkes Bay,Education & Care,Pasifika,Less than 1,2,6,2,5,18,14,7,9,12,11,9,11,11,13,12
Gisborne,Education & Care,Pasifika,Less than 1,3,0,0,2,0,0,2,1,3,1,1,0,3,3,2
Canterbury,Education & Care,Pasifika,Less than 1,10,9,21,14,16,20,20,17,26,14,21,12,12,19,25
